	individual	replicate	well	batch	sample_id
111	NA19098	r3	B11	NA19098.r3	NA19098.r3.B11
112	NA19098	r3	B12	NA19098.r3	NA19098.r3.B12
113	NA19098	r3	C01	NA19098.r3	NA19098.r3.C01
114	NA19098	r3	C03	NA19098.r3	NA19098.r3.C03
115	NA19098	r3	C04	NA19098.r3	NA19098.r3.C04
116	NA19098	r3	C05	NA19098.r3	NA19098.r3.C05
117	NA19098	r3	C09	NA19098.r3	NA19098.r3.C09
118	NA19098	r3	C10	NA19098.r3	NA19098.r3.C10
119	NA19098	r3	C11	NA19098.r3	NA19098.r3.C11
120	NA19098	r3	C12	NA19098.r3	NA19098.r3.C12
121	NA19098	r3	D02	NA19098.r3	NA19098.r3.D02
122	NA19098	r3	D03	NA19098.r3	NA19098.r3.D03
123	NA19098	r3	D05	NA19098.r3	NA19098.r3.D05
124	NA19098	r3	D07	NA19098.r3	NA19098.r3.D07
125	NA19098	r3	D09	NA19098.r3	NA19098.r3.D09
126	NA19098	r3	D10	NA19098.r3	NA19098.r3.D10
127	NA19098	r3	D11	NA19098.r3	NA19098.r3.D11
128	NA19098	r3	D12	NA19098.r3	NA19098.r3.D12
129	NA19098	r3	E01	NA19098.r3	NA19098.r3.E01
130	NA19098	r3	E02	NA19098.r3	NA19098.r3.E02
131	NA19098	r3	E03	NA19098.r3	NA19098.r3.E03
132	NA19098	r3	E04	NA19098.r3	NA19098.r3.E04
133	NA19098	r3	E06	NA19098.r3	NA19098.r3.E06
134	NA19098	r3	E07	NA19098.r3	NA19098.r3.E07
135	NA19098	r3	E10	NA19098.r3	NA19098.r3.E10
136	NA19098	r3	E11	NA19098.r3	NA19098.r3.E11
137	NA19098	r3	E12	NA19098.r3	NA19098.r3.E12
138	NA19098	r3	F03	NA19098.r3	NA19098.r3.F03
139	NA19098	r3	F04	NA19098.r3	NA19098.r3.F04
140	NA19098	r3	F05	NA19098.r3	NA19098.r3.F05
141	NA19098	r3	F06	NA19098.r3	NA19098.r3.F06
142	NA19098	r3	F07	NA19098.r3	NA19098.r3.F07
143	NA19098	r3	F09	NA19098.r3	NA19098.r3.F09
144	NA19098	r3	F10	NA19098.r3	NA19098.r3.F10
145	NA19098	r3	G01	NA19098.r3	NA19098.r3.G01
146	NA19098	r3	G05	NA19098.r3	NA19098.r3.G05
147	NA19098	r3	G06	NA19098.r3	NA19098.r3.G06
148	NA19098	r3	G08	NA19098.r3	NA19098.r3.G08
149	NA19098	r3	G10	NA19098.r3	NA19098.r3.G10
150	NA19098	r3	H02	NA19098.r3	NA19098.r3.H02
151	NA19098	r3	H03	NA19098.r3	NA19098.r3.H03
152	NA19098	r3	H04	NA19098.r3	NA19098.r3.H04
153	NA19098	r3	H05	NA19098.r3	NA19098.r3.H05
154	NA19098	r3	H06	NA19098.r3	NA19098.r3.H06
155	NA19098	r3	H10	NA19098.r3	NA19098.r3.H10
156	NA19098	r3	H11	NA19098.r3	NA19098.r3.H11
157	NA19098	r3	H12	NA19098.r3	NA19098.r3.H12
158	NA19101	r1	A02	NA19101.r1	NA19101.r1.A02
159	NA19101	r1	A03	NA19101.r1	NA19101.r1.A03
160	NA19101	r1	A04	NA19101.r1	NA19101.r1.A04
161	NA19101	r1	A05	NA19101.r1	NA19101.r1.A05
162	NA19101	r1	A06	NA19101.r1	NA19101.r1.A06
163	NA19101	r1	A07	NA19101.r1	NA19101.r1.A07
164	NA19101	r1	A08	NA19101.r1	NA19101.r1.A08
