individual	batch	well	cell_number	concentration	tra1-60
19098	2	D08	1	1.165172494	1
19098	2	D09	1	1.741079542	1
19098	2	D10	1	2.330647164	1
19098	2	D11	1	1.320335434	1
19098	2	D12	1	2.008423914	1
19098	2	E01	1	2.166803088	1
19098	2	E02	1	2.502498763	1
19098	2	E03	1	2.279311321	1
19098	2	E04	1	1.125102219	1
19098	2	E05	1	2.526303307	1
19098	2	E06	1	2.249544696	1
19098	2	E07	1	1.429791815	1
19098	2	E08	1	2.30695832	1
19098	2	E09	1	1.829390956	1
19098	2	E10	4	0.283247855	1
19098	2	E11	1	1.565354609	1
19098	2	E12	1	2.084668867	1
19098	2	F01	1	1.451740643	1
19098	2	F02	1	2.206759199	1
19098	2	F03	1	2.672263346	1
19098	2	F04	1	2.597089032	1
19098	2	F05	1	2.434162927	1
19098	2	F06	4	0.603841958	1
19098	2	F07	1	2.334169089	1
19098	2	F08	1	2.621294555	1
19098	2	F09	1	2.741771765	1
19098	2	F10	1	1.870834127	1
19098	2	F11	1	0.922891544	1
19098	2	F12	1	2.111150074	1
19098	2	G01	1	1.34914461	1
19098	2	G02	1	2.249445849	1
19098	2	G03	1	3.034500924	1
19098	2	G04	1	2.583364642	1
19098	2	G05	1	1.53288979	1
19098	2	G06	1	2.748932486	1
19098	2	G07	1	2.024820164	1
19098	2	G08	1	1.842547243	1
19098	2	G09	1	2.328756445	1
19098	2	G10	1	0.980458877	1
19098	2	G11	1	2.153154887	1
19098	2	G12	1	0.415800347	1
19098	2	H01	1	1.44042773	1
19098	2	H02	1	2.173642162	1
19098	2	H03	1	1.985831991	1
19098	2	H04	1	2.597225799	1
19098	2	H05	1	2.764389682	1
19098	2	H06	1	2.344802514	1
19098	2	H07	1	1.214974062	1
19098	2	H08	1	1.173157814	1
19098	2	H09	2	1.387654103	1
19098	2	H10	1	2.315559927	1
19098	2	H11	1	3.114924893	1
19098	2	H12	1	1.486810444	1
19098	3	A01	3	0.82547505	1
19098	3	A02	0	0.373056387	0
19098	3	A03	1	1.918967885	1
19098	3	A04	3	0.411141591	1
19098	3	A05	1	0.777916901	1
19098	3	A06	1	1.898315152	1
19098	3	A07	1	0.510455284	1
19098	3	A08	1	2.171599639	1
19098	3	A09	2	0.837707656	1
19098	3	A10	2	1.993801554	1
19098	3	A11	2	0.974678612	1
19098	3	A12	1	1.454824893	1
19098	3	B01	1	0.717464532	1
19098	3	B02	1	0.60220999	1
19098	3	B03	1	1.957519156	1
19098	3	B04	1	1.101225062	1
19098	3	B05	1	2.204081856	1
19098	3	B06	1	0.041317544	1
19098	3	B07	1	1.72427616	1
19098	3	B08	1	0.504173097	1
19098	3	B09	1	0.961337829	1
19098	3	B10	2	2.159134595	1
19098	3	B11	1	1.114674505	1
19098	3	B12	1	1.696062923	1
19098	3	C01	1	2.384262995	1
19098	3	C02	1	0.370555555	1
19098	3	C03	1	1.285117597	1
19098	3	C04	1	2.194667495	1
19098	3	C05	1	2.323501866	1
19098	3	C06	2	1.475902213	1
19098	3	C07	1	0.700494544	1
19098	3	C08	1	0.3480884	1
19098	3	C09	1	1.824662301	1
19098	3	C10	1	2.34890648	1
19098	3	C11	1	2.33354674	1
19098	3	C12	1	1.565810303	1
19098	3	D01	1	0.483528354	1
19098	3	D02	1	1.525443381	1
19098	3	D03	1	2.319926163	1
19098	3	D04	0	0.315735902	0
19098	3	D05	1	2.473273005	1
19098	3	D06	0	0.277099364	0
19098	3	D07	1	1.597851423	1
19098	3	D08	2	0.861270039	1
19098	3	D09	1	1.884233471	1
19098	3	D10	1	2.108123528	1
19098	3	D11	1	1.998127775	1
19098	3	D12	1	1.289734071	1
19098	3	E01	1	1.67218069	1
19098	3	E02	1	2.300000338	1
19098	3	E03	1	2.464262823	1
19098	3	E04	1	2.343954178	1
19098	3	E05	1	0.622264688	1
19098	3	E06	1	0.87194512	1
19098	3	E07	1	2.080860664	1
19098	3	E08	1	0.716855916	1
19098	3	E09	1	0.531677803	1
19098	3	E10	1	1.774628753	1
19098	3	E11	1	2.486088749	1
19098	3	E12	1	1.453531651	1
19098	3	F01	1	0.356449937	1
19098	3	F02	2	1.168136952	1
19098	3	F03	1	2.103354579	1
19098	3	F04	1	2.439168001	1
19098	3	F05	1	2.52272761	1
19098	3	F06	1	2.135460577	1
19098	3	F07	1	2.058836854	1
19098	3	F08	2	1.691401325	1
19098	3	F09	1	1.412701219	1
19098	3	F10	1	1.980165595	1
19098	3	F11	1	0.789071167	1
19098	3	F12	0	0.253165707	0
19098	3	G01	1	0.799413814	1
19098	3	G02	1	0.532792606	1
