individual	batch	well	cell_number	concentration	tra1-60
19101	3	A06	1	2.626804464	1
19101	3	A07	1	3.199505557	1
19101	3	A08	2	0.27031805	1
19101	3	A09	1	1.631722776	1
19101	3	A10	1	2.115751884	1
19101	3	A11	1	1.405693479	1
19101	3	A12	1	1.16885216	1
19101	3	B01	1	2.175758622	1
19101	3	B02	1	2.608601836	1
19101	3	B03	2	0.367023403	1
19101	3	B04	3	1.697032449	1
19101	3	B05	1	0.487383848	1
19101	3	B06	1	2.709447701	1
19101	3	B07	1	2.285499562	1
19101	3	B08	1	1.456071951	1
19101	3	B09	1	2.283782203	1
19101	3	B10	1	2.186319229	1
19101	3	B11	1	2.16441615	1
19101	3	B12	1	1.32751103	1
19101	3	C01	1	0.668663968	1
19101	3	C02	2	0.449102792	1
19101	3	C03	1	2.073133663	1
19101	3	C04	1	2.06133217	1
19101	3	C05	1	1.766564143	1
19101	3	C06	1	1.742039544	1
19101	3	C07	1	0.63291774	1
19101	3	C08	1	1.262329506	1
19101	3	C09	1	0.280631065	1
19101	3	C10	1	0.80114322	1
19101	3	C11	1	1.627666541	1
19101	3	C12	1	0.712367014	1
19101	3	D01	1	1.102013372	1
19101	3	D02	2	0.363150946	1
19101	3	D03	1	1.237103998	1
19101	3	D04	1	0.678680536	1
19101	3	D05	2	0.682781796	1
19101	3	D06	1	2.403470575	1
19101	3	D07	1	0.536592438	1
19101	3	D08	1	0.364929765	1
19101	3	D09	1	0.173328277	1
19101	3	D10	1	0.835157542	1
19101	3	D11	5	0.423666688	1
19101	3	D12	1	0.720471054	1
19101	3	E01	1	0.861562242	1
19101	3	E02	1	1.268188642	1
19101	3	E03	1	1.142069963	1
19101	3	E04	1	0.826151027	1
19101	3	E05	5	0.312760046	1
19101	3	E06	1	1.949109306	1
19101	3	E07	1	1.774450006	1
19101	3	E08	1	0.413316896	1
19101	3	E09	1	1.208250359	1
19101	3	E10	1	0.400231147	1
19101	3	E11	2	1.594894506	1
19101	3	E12	5	0.400289779	1
19101	3	F01	1	1.797964589	1
19101	3	F02	1	1.72167627	1
19101	3	F03	1	1.53850578	1
19101	3	F04	3	0.484100393	1
19101	3	F05	1	0.279314131	1
19101	3	F06	2	0.59464989	1
19101	3	F07	1	1.990847296	1
19101	3	F08	1	2.35109403	1
19101	3	F09	1	0.216914094	1
19101	3	F10	1	0.325560576	1
19101	3	F11	1	1.736963634	1
19101	3	F12	1	1.361043208	1
19101	3	G01	1	2.205289767	1
19101	3	G02	1	0.586402448	1
19101	3	G03	1	1.735574865	1
19101	3	G04	5	0.194674251	1
19101	3	G05	1	1.096768797	1
19101	3	G06	1	1.774214574	1
19101	3	G07	1	1.844973146	1
19101	3	G08	1	1.11943089	1
19101	3	G09	1	0.534478558	1
19101	3	G10	1	1.792349392	1
19101	3	G11	1	1.702690507	1
19101	3	G12	1	2.091201898	1
19101	3	H01	1	0.934604627	1
19101	3	H02	1	1.106423142	1
19101	3	H03	1	0.799927069	1
19101	3	H04	5	0.436886273	1
19101	3	H05	1	2.671909219	1
19101	3	H06	4	0.581824756	1
19101	3	H07	1	0.907853783	1
19101	3	H08	1	2.721144707	1
19101	3	H09	1	0.89322582	1
19101	3	H10	1	1.635769689	1
19101	3	H11	1	2.429523335	1
19101	3	H12	3	0.466202617	1
