NA19098	NA19101	NA19239
PABPC1L	ZNF358	METAP2
OARD1	LIMD2	STX6
MTR	SOBP	MGEA5
TCF7L2	CCDC22	TIMM44
DDOST	C12orf29	GSK3B
PCDHB2	PEG10	FBXW8
TOMM40	GPATCH2	HESX1
RXRB	ZNF608	ERCC6L2
RAB15	PRMT7	B3GALT6
NLGN4Y	STARD4	CERS5
PRNP	EHD3	EFR3A
ATP6V0E1	ZKSCAN8	ZNF510
ZNF649	STEAP1	AHDC1
PRDX6	KIAA0930	RORB
ATL3	UBE2B	UBN2
SEC13	NFRKB	KIAA1432
TMEM8B	PTAR1	SH2D5
ATF5	TBCD	TMEM60
SPTSSB	CCDC71	ARNTL2
MTBP	DCBLD1	ZFYVE9
DHRS1	SNAPC3	BBX
SLC12A9	CD320	MLF2
NDUFB4	CHODL	ANXA6
SH3GLB2	CBS	USPL1
S100A10	SETD4	ASNA1
SLC13A3	ATL3	RHOF
ATN1	MAU2	SEC13
AXL	MTFMT	NDUFA8
ARF5	TCEAL3	GGA2
PPP4R4	ATP8A1	FKBP9
CSNK2A1	CDC26	NEK8
TBC1D7	FAIM	CADM1
VPS37A	ABCC1	MANEA
PIGH	FBXL18	OSBP
ENPP5	FYTTD1	CBX6
ZNF607	ACY1	CDK8
VPS37C	CLCN2	MPP2
PTPRG	CLP1	HMHA1
NIP7	ANK3	GMNN
TLE4	ACOXL	SREBF2
CCZ1	PRTG	PDP1
KIF16B	NRAS	SUPV3L1
CACNB4	ALKBH4	ZNF296
TP53INP1	UVRAG	NT5C3B
ESRP1	ZNF219	ZCCHC3
GALK1	CSNK1G3	SPIN2A
MYPOP	GPR89B	UBE2C
SLC25A32	ZNF280B	CTSB
SUPT16H	CLYBL	NOP56
ETNK1	SHPK	CYB561
NOA1	HUNK	ZNF791
MCAT	MBIP	POLR1A
GOLPH3	NQO1	HDAC1
UBIAD1	PSMD12	CUEDC2
ZBTB7A	PYCRL	ZNF395
TOMM34	STK38L	DUSP1
GSTT1	CREBBP	SNRPF
ZNF652	TEAD2	FIS1
CCDC120	KAT2A	UNC13B
CIAPIN1	AGPS	MBP
MDM2	NPRL3	PBRM1
PTCD2	TUBB3	CLPTM1
LRRC6	ATF6B	RGPD2
RBM17	TXN2	SNX27
MYBL2	LBR	SERTAD3
KLHL15	MRTO4	DPM1
MICA	ERLIN2	GOLIM4
ZNF354B	KLHDC10	MRFAP1L1
C17orf70	VBP1	COX15
CBWD5	SNURF	TPI1
ZKSCAN8	GSDMB	HEATR5B
CBR4	NR5A2	OIP5
SEC63	RHOF	PIH1D1
BMPR2	HCN4	PMVK
CFL1	ZCCHC7	FAM122B
EIF3G	OPA1	MAPK1
NLN	MAST2	PRR3
STAT3	TRAF3IP2	TGFBR1
RAD51	METTL25	ABI1
MSH2	KIAA1549	MPP6
PPP1R10	CYP2R1	NUP160
ASMTL	ISCA2	TTC31
ETV4	AMBRA1	DDX18
ASPM	DNMBP	CHPF2
TONSL	SF3B5	ABT1
PAPOLA	RBFOX2	XKR8
KLHL2	SLC30A1	UEVLD
SLC18B1	ANP32E	CCNT1
MEGF8	ZCCHC11	TMEM38B
ARV1	MRPL16	EGLN3
GTF2F1	ZNF777	DDX46
TMEM14C	YAP1	ECE2
FLOT1	IRF2BP1	NTMT1
KLHL9	SPEG	RPS27
PIGV	ADD3	CTDSP1
PRIM1	LHX5	PAN3
CDC7	EMC4	UGT3A2
MAZ	GID8	KIAA0232
PPCDC	HIPK1	CYTH1
SND1	ARMCX4	NUP35
ZNF407	MCM7	STARD9
LLGL1	ANKRD18B	FLT1
MFGE8	ZNHIT3	TXLNA
CHIC2	RACGAP1	KLHDC10
RPL7A	SNAPC4	RAD51C
VPS41	MAOA	UNK
DHPS	ERGIC1	VPS51
GINS3	AEBP2	TBC1D5
FBXO27	RBM22	ATP6AP2
NPC1	AEN	SLC12A9
VTI1A	ZMYND11	FKBP2
NFIL3	ITM2B	NRXN1
TET3	BSG	MFSD2A
ZNF646	RABEPK	SNAPC5
ACLY	NPC1	UBXN7
HSPB8	SCMH1	AHR
RAB33B	SIL1	SMG9
RBM22	NFKBIB	ID4
RAB7L1	NSUN7	OTUB1
TM6SF1	SUCLG1	JPH1
ERRFI1	SMC4	PF4
MAPKBP1	UFSP2	RASL12
RBX1	NOC4L	NONO
SNX5	AUP1	ATP5H
PPIL2	SLC20A1	ZIC2
IWS1	EFNB2	CTNNAL1
KMT2E	HSPB8	YIPF6
GPC2	SLC7A7	PDPK1
BUB1B	RNF24	EID2
PPHLN1	SORD	ZMPSTE24
ATP5G2	STAT1	PHF10
USP21	EIF4EBP2	NHSL1
CACNA2D1	CDA	C9orf135
NUPL2	MYSM1	PLEKHJ1
UEVLD	DSG2	ECHDC3
ELMOD2	KANK2	NRN1L
ANP32E	RGPD5	R3HDM2
BDNF	SLC7A6OS	C21orf58
C19orf25	MIS18BP1	GNAO1
IFT52	NUP54	KIAA0247
RNMTL1	PPT2	EXOSC5
MAT1A	ETAA1	POLR2H
VPS52	CENPJ	ZBTB11
NAE1	MCMBP	ACTR10
FAM110C	KMT2C	KIAA2018
KAT6A	SND1	C9orf72
ABHD8	CTH	CNOT3
CCNK	HILPDA	ZNF554
SMYD5	GNA13	VMP1
CCDC71L	GPC3	ANKDD1A
C1RL	PRR11	FOXN2
NADSYN1	HMGA1	RPS6KA3
RAC3	CLEC2D	PCBP4
CCNL2	DLG3	NICN1
ATIC	ZC3H12A	RPS8
BPTF	ZNF496	SUGP2
TAF13	TRIM5	CHD4
ADRA2C	PFKL	C3orf33
SOCS3	CPT1C	UBE2O
VIM	LRRC1	TRIM13
HSDL2	TSNAX	TOX4
MRPS6	C2orf43	JMJD8
NAPA	RPL15	UQCRQ
TMCO3	SPATA2	TNFRSF1A
IER2	RAPGEF5	SLC30A9
SLC38A5	VPS39	BLVRB
MTFR2	CTSK	FLRT2
RBM41	RBM17	SLC7A3
ERP29	ZBTB2	UVRAG
BUB3	VAV2	C17orf53
ATP5D	OSGIN2	SWT1
ZBTB8OS	JAZF1	NLGN2
RAB2A	GHITM	INHBE
RAB13	TPRN	TMEM251
ZNF317	MED21	ATG5
ZFPL1	CDKN3	MARK3
MBIP	ZNF615	GEMIN5
TUBB4A	SLC15A4	U2SURP
MAPK1	C17orf80	STXBP5
SRRM4	SPRED2	BMP2K
CCDC174	GNG4	SF3B14
PPP2R2B	CBWD1	TBCCD1
TMEM14B	LNPEP	MRPL45
RAB2B	RNF219	HIP1
ACOT8	FBXW11	CCDC97
GPC3	PXMP4	TOM1
CTIF	GUCD1	EIF2AK2
SH3BP5	ZNF594	RNGTT
OSGIN2	DAPK1	GSS
WDR34	PTPN4	EFTUD2
RRP1B	DHRS12	SF3A3
CNEP1R1	CCT8	JDP2
ATP5EP2	TCF25	KDR
TRIM32	PIAS4	ZNF711
MEX3C	PREB	STAG1
GLDC	EIF2B1	ZNF558
MPHOSPH10	ZNF700	PRMT6
SOCS5	UBAC1	C9orf40
VPS33B	SIRT5	STOX2
REXO4	OTX2	POLR2M
PCYOX1	PPP6R1	C1orf123
PHF11	PPAP2A	RGMB
ETS1	BAG4	CHEK1
SMIM13	DHFRL1	SLC25A17
HAUS3	HDGFRP3	RASGEF1A
TBPL1	USP4	EXOC1
SLC9A7	HNRNPC	ABHD17A
RBM10	MOB4	GLB1
KRT18	EPC2	LRBA
SNX4	SIK3	ZNF600
HNRNPL	GUCA1A	MTA3
TMF1	FAM196A	RHOH
ZNF443	RAP1B	ABHD4
RP11-347C12.1	STRIP2	SRP19
TBC1D9B	FAM72A	EIF6
ZSCAN21	MGA	THOP1
FAM175B	HSPB11	TBC1D16
PSMD3	EIF2A	CRELD2
ATMIN	MSANTD2	NME4
IRS2	NT5DC1	TYW3
TAOK1	PDRG1	RPS15A
URB1	MAML1	DPH5
WIPI2	PEA15	NTAN1
DHRS7	ZBTB25	ATP6V1B2
PDCD11	PIGO	IRGQ
TBC1D10A	TTF1	MYEOV2
FAAH	EIF3G	HNRNPA3
SENP5	LRBA	RGPD4
GNL1	ZNF501	BCL7B
MRPL24	SAR1B	FRAS1
NDUFB6	CCDC157	BUB3
UBE2E3	COA1	ALKBH4
TRA2B	RRM2	FIG4
PFN2	PICK1	TRIM35
SETD1B	NEK3	ZNHIT3
ACTC1	LSM2	PTBP3
SLC15A4	REV3L	GTF2H5
GEMIN5	SLC4A1AP	PGM2L1
MAP3K1	ZBTB6	GTF3C3
TRAPPC5	XRRA1	TUBA1B
PPP4R2	FNTB	LINC00632
NUDT1	FDFT1	C10orf82
ANAPC11	PAFAH1B3	TJAP1
MMP2	BRAF	PCDH11X
UBLCP1	TRABD2A	ZNF566
PDRG1	KLHL28	KCTD1
ZNF568	BCCIP	NTHL1
CA12	PCGF3	MYADM
RGPD5	ARPC1B	SMC3
SSNA1	CBY1	DCTN4
LTN1	KRT8	ALG6
SUZ12	FTH1	HIF1A
ARL5B	TTYH1	NDUFS4
ZCCHC10	C20orf194	IQCA1
RAB3GAP1	EID1	COA4
SP3	TCF19	NDUFA9
RHOBTB1	RPP21	DDX1
ZFAND5	MPDZ	CHD6
ISCA2	CCDC85C	BHLHB9
PITRM1	TMEM150A	YBEY
GNG12	RASGEF1A	PTGFRN
TCEAL3	DTYMK	ZDHHC15
ESCO1	KCTD15	C19orf77
ZNF764	ARID3A	GEMIN6
CDKN1C	STEAP3	PRKD2
EDEM3	ERI2	BAIAP2L1
NR1D2	GPX8	PFKL
NID1	SH3BP5L	WDR3
CASC3	TBC1D1	OLFM1
NVL	AHI1	CCDC173
TSPAN15	AAK1	BLOC1S2
BNC2	DDAH1	HSF1
CLSTN1	AP5B1	SLFN12
AKAP9	GNB1	ARIH1
IVNS1ABP	DDI2	CENPV
UBE2A	NR2C1	GGH
MTPAP	SLC2A4RG	EPB41L5
SDC1	TRAM2	TAF4B
TPST1	NRIP3	XRCC4
CYP2U1	BRD8	SLC25A43
TUBE1	WBSCR16	OPA1
PHTF1	IRGQ	PDPN
MED29	ROBO1	ZNF747
SLC25A38	ARHGAP26	STAC
GABRB3	LANCL2	ORMDL3
AC027763.2	HNRNPA1	SLC45A3
CNOT1	TMED2	LYPLA2
GNB1	PPP1R17	HIPK2
AKR1B1	IKZF4	SH3PXD2B
STRBP	TEFM	PAFAH2
TRMT12	PQLC3	TMEM159
OGFRL1	SLC25A20	DKC1
RQCD1	MAP2K7	MB21D2
TMEM92	LOH12CR1	IFT122
CLSTN3	GSTP1	MAT1A
C11orf57	NSMF	RAB34
ZNF618	PIH1D1	KLF13
NACA	PQBP1	C11orf80
GOLGA4	RAB1A	FAM174B
MANBA	LIPT1	ANKRD30BL
LATS2	CCDC91	USMG5
SUN1	ANXA6	RBAK
BTBD17	MIS18A	OSGEP
ZNF318	SLC35F2	DPCD
NCOA5	RP9	TP53I3
PSAP	IPO11	SLC25A11
CEP70	ARHGAP1	ELF2
TXN	ASPHD2	PXK
NME7	CC2D2A	TBC1D8
RNF220	LNP1	MRPL55
AGBL3	EDF1	TRPM4
MND1	CIAPIN1	USP6
BPNT1	TCEA2	REPIN1
PSMD7	QPCT	PPP2R3A
GMFB	LARGE	CADPS2
ACO2	UNC119	RALGPS1
EMC9	FBXL7	ARL4C
PPP2R2D	DESI2	SH2B1
RPS17L	DOCK11	MCCC1
CNOT2	HSD17B12	ING2
ZSCAN5A	C4orf27	AEBP2
DBI	DEPDC4	PELO
BAZ2A	UBE2V1	ERC1
DNAJC1	CNBP	RGPD5
EIF4EBP1	PSPH	KIT
TROVE2	LRP5	HERC1
RASSF3	CYLD	EIF4EBP1
EGLN3	AKT2	GAPVD1
SEH1L	EIF3J	SFMBT2
DCLRE1B	CROT	STX16
ARPC5	ARMCX6	VIL1
URGCP	UBE3A	ADCY2
PNPLA6	OSBP	ZMAT2
HNRNPM	TDP2	MPPE1
PRPF38A	ZFC3H1	DCAF8
MRPL16	LMF2	IDH3G
SERGEF	KLHL23	GPR75-ASB3
PEMT	TIMM22	ADPGK
RHBDD2	ZNF16	ACSS3
CCDC171	HIST2H4B	KLHL12
THAP1	CMTM6	SLC7A5
GLCCI1	USP49	MDM2
SYNGAP1	SLC19A3	QSOX1
NELFCD	NUP50	CHMP4B
PIK3C3	RPL36A	ABAT
SCAMP1	TNRC6A	ACTB
POLD1	RASSF4	PPP6C
LNX2	CARS2	ID1
NFKBID	PSMD7	ACTR8
BEND3	ARF5	CLDN7
CLIP3	TERF2	TMEM169
CSRP2BP	SERBP1	FAF1
XPO5	ZNF730	LSM5
PIGF	ZNF286A	IQSEC2
GSDMB	NOL6	CYC1
TMBIM4	CD44	RASSF8
ENPP1	POTEE	KATNAL2
FKBP11	HSPA9	PFDN4
BCL7B	ZNF106	GAR1
DNAJA4	COPRS	ASCC2
DHX33	RPS6KB2	PPAN
REPS1	TCEAL8	RANBP2
FBXW8	PDCD6	SMIM13
ACOX1	SEPT11	ALDH3A2
KANSL1L	ARNT2	ALG1
RANBP6	NACC2	CDC26
RAB28	TCHP	CALR
ASUN	PSMD1	GPR107
GCNT1	FZD2	ORMDL1
TMED5	FBXO31	TMEM242
ARMCX1	GGA2	C17orf51
PURB	ZNF525	LTBP4
VCPIP1	RAPGEFL1	FXR2
UHMK1	INO80	CETN3
FAM43A	SMARCAL1	SNRPD2
LSM2	NRXN1	RAB11B
EFCAB2	ITFG3	GOLGA2
YIPF6	C12orf10	ASNSD1
ANKS6	CHD6	ANKRD13D
NLGN1	CTNNB1	LYPLAL1
ZNF43	SLC11A2	SNRPG
PXMP2	CEP78	ZFX
UTP3	ABRACL	ZBTB8A
KIAA0368	LRRC47	PAPSS1
MEF2D	CIPC	POR
H2AFV	PHYH	STEAP2
ZMIZ1	ZIC2	NKTR
SALL1	VGLL4	KIRREL
ANKRD13B	ZNF211	RBM28
MTCH2	PPFIBP1	ZNF335
COL5A2	CCDC50	LAD1
RPL37A	TAB1	SHISA2
PM20D2	SH3BGRL	RAB3IP
LMAN2L	RAB22A	FAM63A
NET1	ETV1	PRDM15
ORC6	LPHN2	TMEM59
ZNF506	VTA1	ZNF141
TERT	DHRS7	DBT
TMEM209	OTUD7B	SUMO4
ANKRD12	R3HDM1	GPR153
C6orf120	CYSTM1	METTL23
SYT17	S100A16	DAD1
MTAP	MID1	ZNF793
RHOC	CLHC1	EXOSC1
STAT6	TPD52L1	CASP9
ZNF286A	HS2ST1	AZI2
TSPAN18	PRR5	CCDC136
DDX39A	TPI1	KCTD2
ETFA	RPTOR	RPP21
MTA2	SMC2	RHOT2
TIMM9	GPBP1	WDR37
EIF2B3	ERO1LB	SEC24D
ZDHHC21	TOP2A	IL17RD
ZNF207	CCDC43	ZFAND1
PLOD2	FBXL4	MLYCD
SLC25A12	LAMTOR1	HKR1
ALG12	AIMP2	RNF44
GLA	SPATA5L1	TEX264
DLGAP5	TEX9	AMT
VWA1	PDS5A	HCCS
COPS8	SUV420H1	BCL2L11
DSCR3	RAB3GAP1	KPNA1
NPTX2	ZFAND5	SPP1
LIMA1	DHRS4	SMPD2
BLOC1S2	SDCCAG8	ZNF423
LRRC49	GAPVD1	HES7
MORN4	MRPS12	ABCB8
PIGS	ASTN2	UFD1L
CORO2A	EXOSC7	PPIA
AHCYL2	FGFR1OP2	SPDL1
LRRC37A2	CHCHD10	ST6GALNAC3
STK33	ZNF514	PEX16
AC024940.1	ANAPC5	VPS53
TFG	GNG5P2	CREB3L4
MAN1C1	RPS3A	CHD1L
NSMAF	TP53RK	ZMIZ2
HIST1H2AG	PIGA	NUCB2
IFITM2	RNF144A	CNR2
ZNF749	TMEM50A	C8orf59
COPB2	ZNF512B	FAXC
PPAT	TRIP11	CCDC160
TRAK1	ZBTB45	GLDC
KPNA1	NEDD1	ATN1
MARS2	HDX	TOMM22
TP53BP2	PPWD1	LEPROT
ERLEC1	TRIM16	FAM161A
ZNF3	IQGAP2	R3HDM4
VASN	MDH1	POLR2J3
NCOA7	RCOR2	MGAT4B
PRKAR2A	VPS13B	XPC
DPF2	EIF2B4	COX5A
BLZF1	ZNF300	TSC22D4
KIAA1279	AGBL5	DMD
SFXN1	CTNNA1	ZNF670
STT3A	RPS7	CAAP1
QDPR	RBAK	NR4A1
SERPINE2	TBL3	HDAC9
PHLDB1	DERA	FANCC
GLUD2	ZNF250	PBXIP1
F8A3	OTUD3	NOP16
EXOC7	DCAF15	TCEA1
KDM1A	ICOSLG	ANK2
SSR1	ATOX1	AGPAT2
SNAPC1	GINM1	C11orf1
ERGIC2	MYEOV2	SBNO1
CLNS1A	ZNF462	CACNB2
FAM53C	FBXW9	FGFR1OP2
CLDN7	HMGCR	EFCAB11
LYRM7	MBD4	KIF16B
ZNF501	AFF4	DDOST
MAPK1IP1L	ACAP1	SZRD1
RPTOR	ANKRD46	LYSMD1
NFATC4	MED26	SASH1
NAA16	RIF1	MCM8
ANLN	ELOVL5	NEURL1B
SLCO4A1	FYCO1	KRT10
C19orf52	MYO6	APEX2
PCYT2	EMD	ZNF443
DNMBP	ZNF780A	SBF2
P2RX4	SYVN1	SLC35B1
NUMBL	COX14	SLC26A2
PCMTD1	RPS13	DFFB
CENPO	SASS6	SLC25A13
DRAM2	CSRP2	HLA-DPB1
ADAMTS1	SOS2	VCP
WDR27	ECD	CDK5
FAM189A2	LMBRD1	C1orf172
CA2	ELF1	PRKX
KIAA1033	GBE1	PRKRIR
RGMB	MEX3B	RNF5
SOGA1	B4GALT6	TUB
MPP6	CEP55	IFFO2
UNC13D	PRDM10	CHST9
DBNL	FBXO2	STPG1
FBXO31	ACSL4	SGTA
TCF19	GRIPAP1	PPP2CB
KIF21B	MPC1	NDUFS1
PPP1R21	VPS25	RAB1A
ZNF296	SCD	GABARAP
TMUB1	ZNF554	GLTP
COASY	SPAG5	ZNF71
KLHL7	TAGLN	PMPCA
EPB41L4B	YEATS4	ZNF207
HAGHL	TBC1D16	GFM2
MDH1	SDF4	LPHN3
SRSF9	LGALS1	CCNI
CLCN6	PTK2	EMG1
FAM210A	EGLN3	CNN3
MTHFD2	RBM14	PDS5B
ZFR	RNFT1	IFITM1
SUDS3	LEPREL1	DYNC1LI1
SERINC2	ACSL3	NR2C1
SPG11	RBM25	CD320
NAALAD2	CAMKMT	COL6A1
NIT2	CD81	ARFIP1
SIPA1L1	UBA3	OGFOD3
TOPORS	EEF1B2	HSPA5
PVR	TMEM5	EIF2B1
HDAC8	CDKN1C	OGFOD1
GOLGA2	LRP1	TLN2
ACTN4	NAGK	POLR2F
PAPSS2	CENPK	BACE1
CHD4	TNFRSF10B	LSR
FAM219B	NACA	SLC17A9
PRDM10	MZT2B	CSPG5
CHRNB1	CSNK1G2	FAM160A1
WTAP	PRSS23	TDP2
ZNF550	PRPF39	LAMP1
PCMTD2	CEP57L1	FADS1
C9orf89	RYR1	GPN3
SOBP	MAN2B2	CCNYL1
MAST3	UPF3A	DNAJC2
PPT1	REV1	PPFIBP1
REEP2	YY1AP1	ATAD2B
GADD45A	TIMM13	PDCD2L
HAS2	KIAA0586	WIPI1
MARCKS	GNPNAT1	RHEB
MSL1	NIN	TMEM57
L1CAM	FRS2	ATP5G3
NAV2	SNX18	IFT81
SLC25A5	LRRFIP2	C16orf87
POLDIP2	TRIM8	TLK2
BICD1	MDM1	NR1H2
ZNF292	RSPO1	AIMP1
ATF7IP2	MAPK3	PCNA
LZTFL1	VRTN	RAB4A
NEFM	YWHAQ	ZNF830
TTC19	COL5A2	C22orf39
TTC14	NAV1	SNRPB
AGRN	DYNLT3	QTRT1
BIRC6	TNKS2	THTPA
ORMDL3	NAA50	NOL9
UBR3	AES	UQCC2
RPL27A	BTBD1	BRAP
B3GALT1	TTC4	ZBTB43
TBL1XR1	PLCXD1	L3HYPDH
UFM1	TMEM251	CCT2
ATAD2	TSSC1	SLC23A2
IQGAP2	FEZF1	NMD3
PLAGL2	SLC29A3	MON1B
SSSCA1	ZC3H14	HSPA9
LIMCH1	FOXJ3	SYAP1
GALE	ADPRM	PATZ1
PCDH11X	SLC37A3	SLC30A6
MGST2	HOMEZ	ANO10
RPSA	CNTLN	EFEMP1
SH2B1	CREB3L2	OBFC1
POLR1C	MRPS18A	PPM1D
SLC39A1	FRMD4A	TMEM39B
KIF2A	DLST	DDX11
MLEC	NDRG2	ENSA
RUSC1	NPHP1	HN1L
SKI	TNFRSF10A	S100A4
CSNK1A1	CLK2	CTD-2368P22.1
SCO2	ATAD5	ZNF350
ZNF589	ADO	L3MBTL1
CDAN1	P2RY11	ZCCHC6
ANKRD13A	IPO9	FAM126B
PYCR2	KIN	PPP1R7
DNAJC25	UBL3	LRRC40
USP14	TECPR2	FAM49A
ATP1B2	TRUB2	FAM114A2
DCAF7	CEP44	UBR3
GLIPR2	NDUFB1	CPSF1
SRSF6	ENOX2	CCDC171
ANKRD36	MRPL34	ENTPD5
TIAL1	CHST2	CEPT1
ODF2L	MGAT1	ADD1
PRRT2	RPE	EFNA5
NECAB3	MCUR1	PKN2
POLE4	ATP6V1G1	SNX2
SBF2	CEP290	TPT1
SMG1	MVB12B	SF3B3
EGLN1	PLEKHH2	TOMM40L
RASL10B	RHOG	FBXO36
HDAC7	PDLIM7	MARCKS
NBPF9	ZNF226	CCNE1
TCAIM	PTPRF	NPM3
BAX	MAGOHB	TAX1BP1
ZNF330	FKRP	C18orf54
IL6ST	TRIM33	CCHCR1
FAR2	MMAB	CEBPG
RGMA	PF4	SEPT9
DAZAP1	PTCH2	FBXL18
RNF123	ADAM17	SHROOM3
CLDN12	SLC35B2	MARVELD1
CHAMP1	COA3	ANXA11
PFN1	GIGYF2	GFPT1
FAM71D	CSGALNACT2	DUSP16
VWDE	CLCN3	ATP2B4
GAS2L3	SOCS6	C19orf43
MED1	CPD	KCTD6
PPIP5K2	POLM	KCNK1
NOP10	SRP14	CAPN2
FAM193B	ABL1	G3BP2
USP31	PLEKHM2	PIKFYVE
FLNA	COX6A1	AVEN
FAM171B	CKS1B	APH1A
IGF1R	FIG4	CSNK1G1
EHD1	WDFY3	IKBIP
GPR27	NAT8L	BSDC1
ACBD5	THOC1	IQSEC1
HEBP2	APPBP2	MED9
RPL27	LBH	C14orf142
TRMT2B	P4HA1	LIN9
FAM161A	NHSL1	SAPCD2
AIMP1	RETSAT	NDFIP1
SYNJ2BP	GRAMD1B	KIAA0195
MRPL52	FKBP7	NCAPG2
DAAM1	STK11IP	SCNM1
CDC40	LRP10	DCLK1
FRMD4A	USP51	DOCK5
RORA	GSPT1	CHD9
ZNF613	RSPRY1	GPS1
ERICH1	PSMF1	C2orf76
PPP3CA	GMPR2	NEK1
MUC12	BLVRA	MTF2
PDCD4	ZNF768	TBC1D1
SYDE2	EPC1	DCUN1D1
TEX9	HYOU1	PRPF6
TM9SF2	CDC27	NINL
MAP2K4	IGF2BP2	MAPK8IP3
SDAD1	ARPC4	MTMR9
ZXDB	ZNF30	THAP9
NEK9	SHISA5	ARMC8
RPS17	AP5S1	TAF2
C2CD3	MDH1B	CINP
CORO1B	COL4A6	ZNF622
GCSH	AXIN1	CIB2
RPL39L	PSMG1	MAPK9
DNM3	LANCL1	SDHAF1
TMEM237	MRPS30	WDR92
BABAM1	ATP1A3	COLGALT1
OSBPL2	TTK	EGLN1
TTLL5	CNTN1	DNALI1
ZC3H11A	RFX7	LAMC3
ISCA1	CD200	PDXDC1
TMEM60	KIF9	ACP1
HIST1H4I	MYH10	ADARB1
TACO1	IDH3A	TASP1
CEP170B	FSD1L	NME6
ATAD3A	TMEM222	PARP1
FAM192A	TRAPPC4	SEPT2
SLU7	KLHL7	TICRR
CEP120	SEC24D	CBL
RNF115	CRISPLD1	MTRNR2L9
SUCLG2	NPDC1	ENDOV
GFOD2	NOTCH3	INTS1
OXR1	FUT10	NPC2
PHKG2	GALNT2	LCMT1
PDLIM2	MLF1	SEMG1
ZDHHC17	STEAP2	PUM1
ZNF620	AP2A1	CPSF6
ITGA7	IP6K1	SMN1
STK24	CPNE3	ZNF354B
HK2	TYSND1	SENP5
GTF2A2	KCTD8	HSPA1B
PIM1	PIGW	CTU2
GPCPD1	DHRS4L2	HUWE1
VIMP	ZNF205	SERF2
TMEM231	SEMA4D	WDR60
EBNA1BP2	IL17RB	CHN1
IFT122	FAM49A	TMEM181
OTUD3	PELO	ARMCX6
SFMBT1	EPHA4	SHARPIN
USP28	OXSR1	SRD5A3
SRP9	SDHA	ENC1
TM2D1	BRSK2	TMEM98
GALNT6	VCAN	FNDC4
SOCS2	ZNF24	CCDC124
FKBP14	HESX1	EHD1
BTRC	GORAB	LYRM2
SNX6	NEU1	FBXL12
YOD1	L3MBTL1	HLA-B
DOCK9	TMEM167B	SLMO2
PPP2R4	CISD2	ANKRD46
UBE2L3	CTCF	MAL2
NAGLU	RBM7	RGPD8
NR2C2AP	RCCD1	CRYGD
AK4	EDEM2	S100A10
APBA3	IGHMBP2	ISY1
RP11-159D12.5	MIER1	EMC1
IFFO1	SARS	FBXO41
ZNF687	TNMD	BRI3BP
ACTR3B	C19orf33	C16orf13
FANCF	PHF8	NUDT9
ST5	MIB2	ZNF518B
FAM65B	PHF20L1	DENND5A
SEC11A	SERP1	RAB18
ARHGAP27	CANX	TMEM209
HSPA9	ATP1B2	SKIL
RNF34	PBDC1	CTSK
EVI5	SRP68	SHFM1
NOSIP	OS9	KDM2A
ZNF600	LYRM7	CHORDC1
FBXW9	SPPL3	ACOXL
NDUFAF3	NDUFAF7	STAT1
SEPW1	RBM43	ZBTB44
NINJ1	C14orf80	AKT2
SPC24	SRBD1	METTL7A
XPOT	PANK1	POT1
ATXN7	MAVS	CPNE2
SMARCC2	SESN3	PSMA2
ATP13A3	CHST9	ZNF85
CCDC160	PEMT	EEF2
RPN1	IFT122	ADNP
ZNF791	PRELID1	FAM8A1
IDI1	UBE2G1	INO80
UBBP4	ZNF43	MRPS11
AKR1A1	ATXN7L3	GTF2H2
AFMID	REPIN1	RPL7A
EFEMP1	RASA3	CAMKK2
WDR4	SEPT7	C2orf49
ADAMTS4	C16orf70	IMMP1L
SRSF3	CHPF	MORN2
LARGE	NSMCE1	AMBRA1
C16orf52	ZNF143	CEP89
SH3YL1	SIX4	TNNT2
PISD	ABCC4	CHIC2
SEC31A	PGAM5	CYFIP2
TMEM5	PFDN6	VMA21
FAM86B1	LASP1	FOXD3
ZNF367	RAC1	CCDC69
MTMR9	BBS2	TTC37
ZBTB6	SGTB	RAB22A
MTRNR2L11	RHOQ	ARHGAP19
TCEAL2	SHFM1	JMJD6
KLHL24	CMTM8	FAM19A4
HNRNPUL2	COL1A2	UGT8
AHSP	JRKL	ZNF334
PLEKHJ1	CDC42SE1	ZNF485
SLC17A9	ZNF620	ZNF16
TTF1	IFITM1	RABGGTA
NBPF20	RSU1	METTL2B
MARC1	DAAM1	DNAJC9
PXMP4	PHF6	TADA3
ZSWIM1	PLOD2	FBXW9
ITGB5	ITCH	TMEM245
RAF1	UBXN2B	RSBN1
EPM2AIP1	PIKFYVE	CDKN2AIPNL
BEX4	COX6C	DPH2
GGH	VKORC1	FAM92A1
PAPD5	TRIB3	PLEKHA4
KXD1	ACBD3	CPOX
MYL6	BEND6	TRMT2A
MUL1	DAK	KIF5B
TIMM17A	CCND1	CUTA
AKAP11	PHF13	TMSB4Y
CLCN5	SEPT8	DCUN1D5
NELFB	PAPOLA	DDX21
ZCRB1	ZNF224	TRPC4AP
C1orf35	EAF1	SNX1
ELAC1	TBC1D31	RAP1A
NFIB	PIM3	TNIK
RPL18A	PMVK	SGSM2
NPDC1	FLNB	PSMD4
PRRC2B	RGS5	RPL9
ITFG3	PCNA	MREG
EEA1	SAMD4B	KDELR3
PDDC1	KIAA1522	MRPL50
RBM43	DIDO1	ARL4A
AFF1	TMTC4	RCHY1
SIPA1L2	ZCCHC3	RNMT
TBC1D10B	SYTL1	SEPT11
