NA19098	NA19101	NA19239
UHRF1BP1L	ZNF738	TMEM161B
E2F5	SLC45A3	SLC2A8
MT-ND4L	ZNF609	TEFM
CANT1	OXNAD1	SCO2
YIPF3	GPALPP1	MED21
UBQLN2	ZNF184	C11orf74
CHMP3	PPCS	ARHGEF10L
CRCP	HN1L	ZNF609
PLK2	COMMD2	QRSL1
LOXL3	KIDINS220	UQCRFS1
EIF1AX	BRPF1	EMC2
TCEAL1	SEMG1	KAT7
INO80C	KCTD1	C8orf76
C1GALT1C1	WDPCP	H2AFY2
MTRNR2L10	URM1	MTHFR
CUX1	PI4K2B	RBBP9
RNASEH2A	OPA3	FAM69B
MLX	SGSM3	VPS8
HSP90AB1	CUL3	TIPIN
WDSUB1	HAGH	TMEM208
GAA	FAM127C	FLII
TMEM55A	COA4	OGDH
PHLDB2	CTR9	C18orf21
EIF1	RBM27	CBFB
NF1	DST	PSMD13
STK35	CRABP1	ATXN3
NNAT	ARL3	COPG2
NDUFB1	SELT	C16orf52
TAF6	CHST10	PFDN2
IFNLR1	NCSTN	SMCO4
ZNF213	CDK11A	TATDN2
EEF2	ACAP2	HMMR
CHST14	FAM193A	TMX4
COPZ1	SMARCC2	BRSK2
FAM60A	ZNF81	TTC32
ZFYVE19	VDAC3	NDUFAF5
SFT2D2	PHF5A	CDIPT
CADM4	ZNF354C	SLC19A2
EARS2	CENPU	XPO7
FMR1	ANXA11	ACAT1
CCT3	NOTCH2NL	NOA1
NFASC	COL11A1	SNX24
ARHGAP4	AKAP10	HIST2H2BE
AGFG1	MKNK2	ZNF669
ZNF48	POLD3	THBS3
PTER	SNTB1	PLEKHA5
MPV17L	CDK2AP1	DPH3
SEL1L3	VPS13A	POLR2J
DDX50	ZNF268	CCDC113
CLU	PHYHD1	C20orf96
PLCXD1	ZNF304	ESF1
PWP1	C2CD5	PTBP2
SEPT8	PPAN	NPIPB5
ANKRD35	TRAK1	DLD
ANKMY2	ACTN4	HNRNPCL1
ZSCAN12	MEST	NFKBID
CDC37L1	PRAF2	TRMT112
C19orf54	PPM1F	NFYB
SEPSECS	RINT1	LLGL2
RNF40	STC1	CYBRD1
LGALS1	PRRT3	DENND6A
IMPDH2	SRP54	FJX1
S1PR3	MSL1	FAM83F
USP27X	ZNF584	MT1E
TM9SF1	GTPBP3	MAZ
NSUN4	HIST1H2AC	MTCH2
SCGB3A2	TSC22D4	C1orf131
CHAF1B	KDM4A	LMBRD1
ZNF608	ZNF678	SLITRK4
FAM72D	PPAP2C	PLA2G12A
EHD2	NBPF8	ERCC8
BBS7	ACTB	LAMTOR1
TFB1M	GALK2	MIDN
PSMC6	CAT	LRAT
TFAM	SRCRB4D	CHD3
PPM1K	STON1	NCAPD2
FARSB	FKBP11	LRIG2
FAM57A	MLEC	SETMAR
PSAT1	LYRM4	PYGL
ARHGAP19	AMT	TXNDC15
IFT81	UBE2W	ZSCAN31
AP3S2	GRWD1	GNAI3
APPBP2	ARMC8	SRSF10
CCDC117	ANKRD17	PRPS1
PALM2	ZNF483	KBTBD7
L1TD1	BROX	NFE2L2
DFFA	DHX34	RIT1
TSEN2	MT-ND4L	ARHGAP5
STEAP1B	HCFC1R1	ACRV1
RBM15B	TMEM106B	HSPB1
STK38	KDSR	ZNF44
CDK5R1	RASL11B	CAMSAP1
